source,path,category,root_speed,airborne_frac,pelvis_low_frac,upper_lower_ratio,limb_energy
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/typing_2_stageii.npz,Upper-Body Manipulation,0.002,0.0,0.0,8.838,0.19
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_C_stageii.npz,Upper-Body Manipulation,0.008,0.0,0.0,10.857,0.75
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_1_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,15.324,0.16
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_3_stageii.npz,Upper-Body Manipulation,0.017,0.0,0.0,3.547,1.4
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/flute_2_stageii.npz,Upper-Body Manipulation,0.001,0.0,0.0,11.197,0.03
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/grasp3tripod_1_stageii.npz,Upper-Body Manipulation,0.002,0.0,0.0,11.153,0.25
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Flute05_A_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,2.208,0.16
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignB_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,29.043,0.35
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Flute05_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,2.183,0.21
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignA_stageii.npz,Upper-Body Manipulation,0.006,0.0,0.0,25.489,0.41
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/flute_1_stageii.npz,Upper-Body Manipulation,0.001,0.0,0.0,8.332,0.02
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_2_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,15.173,0.08
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_A_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,31.439,0.23
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Talking02_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,8.87,0.16
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/pointing_1_stageii.npz,Upper-Body Manipulation,0.011,0.0,0.0,21.274,0.32
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/ObjectA_stageii.npz,Upper-Body Manipulation,0.002,0.0,0.0,12.479,0.1
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/graspLumbrical001_1_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,12.393,0.05
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/typing_1_stageii.npz,Upper-Body Manipulation,0.002,0.0,0.0,9.876,0.16
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Typing01_A_stageii.npz,Upper-Body Manipulation,0.002,0.0,0.0,7.929,0.06
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_3_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,20.425,0.14
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_2_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,18.791,0.22
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TalkingD_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,14.255,0.3
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/DirectionB_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,19.248,0.17
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_1_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,13.69,0.07
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction02_1_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,16.682,0.16
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Typing01_B_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,9.956,0.1
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/V_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,31.522,0.21
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignD_stageii.npz,Upper-Body Manipulation,0.003,0.0,0.0,34.142,0.15
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/WritingA_stageii.npz,Upper-Body Manipulation,0.007,0.0,0.0,8.123,0.24
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/BottleA_stageii.npz,Upper-Body Manipulation,0.001,0.0,0.0,13.992,0.06
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TalkingC_stageii.npz,Upper-Body Manipulation,0.006,0.0,0.0,7.934,0.13
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TalkingA_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,5.663,0.12
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction02_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,12.28,0.14
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TypingA_stageii.npz,Upper-Body Manipulation,0.002,0.0,0.0,8.894,0.18
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Waving_stageii.npz,Upper-Body Manipulation,0.007,0.0,0.0,38.977,0.43
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/ObjectB_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,36.652,0.32
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_stageii.npz,Upper-Body Manipulation,0.004,0.0,0.0,10.694,0.12
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/writing001_1_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,7.762,0.17
