source,path,category,root_speed,airborne_frac,pelvis_low_frac,upper_lower_ratio,limb_energy
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/675/walk_with_handrail_table_beam_right10_stageii.npz,Basic Locomotion,0.344,0.0,0.0,1.071,0.71
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/132/132_12_stageii.npz,Basic Locomotion,0.224,0.0,0.0,1.753,0.46
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_89_F_MoSh/Subject_89_F_6_poses.npz,Basic Locomotion,1.276,0.0,0.0,1.04,7.12
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub035/0022_throwing_hard2_poses.npz,Upper-Body Manipulation,0.355,0.0,0.0,3.194,4.53
AMASS,../egodata/downloads/amass/extracted/CNRS/CNRS/288/01_L_2_stageii.npz,Agility / High-Dynamic,1.002,0.067,0.0,0.993,3.88
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/66/Fast_CircleCCW(3)_stageii.npz,Basic Locomotion,0.824,0.0,0.0,0.913,2.89
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/83/83_62_stageii.npz,Agility / High-Dynamic,0.119,0.118,0.0,1.674,2.17
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/442/Aufstehen05_stageii.npz,Unstructured / OOD,0.056,0.0,0.552,4.138,0.27
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/67/Slow_StraightLong(36)_stageii.npz,Basic Locomotion,0.516,0.0,0.0,0.955,1.07
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/317/step_over_gap02_stageii.npz,Basic Locomotion,0.562,0.0,0.0,0.972,0.9
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub034/0011_normal_jog3_poses.npz,Agility / High-Dynamic,0.187,0.0,0.0,0.683,15.01
AMASS,../egodata/downloads/amass/extracted/Transitions/Transitions/mazen_c3d/crouchwalk_jumpinplace_stageii.npz,Basic Locomotion,0.526,0.037,0.018,1.303,2.01
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s1/piggybank_offhand_1_stageii.npz,Upper-Body Manipulation,0.068,0.0,0.0,3.371,0.22
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/3/lean_over_table04_stageii.npz,Basic Locomotion,0.223,0.0,0.0,1.842,0.38
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s1/duck_inspect_1_stageii.npz,Upper-Body Manipulation,0.081,0.0,0.0,2.712,0.28
AMASS,../egodata/downloads/amass/extracted/HDM05/HDM05/mm/HDM_mm_03-05_01_120_stageii.npz,Upper-Body Manipulation,0.151,0.0,0.099,2.44,1.63
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub018/0002_treadmill_slow_poses.npz,Basic Locomotion,0.141,0.0,0.0,0.41,3.41
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s7/flashlight_on_2_stageii.npz,Upper-Body Manipulation,0.161,0.0,0.0,2.312,0.53
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/9/WalkInClockwiseCircle03_stageii.npz,Basic Locomotion,0.424,0.0,0.0,0.973,0.67
AMASS,../egodata/downloads/amass/extracted/HDM05/HDM05/bk/HDM_bk_03-02_02_120_stageii.npz,Basic Locomotion,0.159,0.0,0.0,1.621,1.45
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/kanno/jump-08-rope_backward-kanno_stageii.npz,Upper-Body Manipulation,0.132,0.053,0.0,2.321,1.35
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/1347/Experiment3a_subject1347_back_01_stageii.npz,Unstructured / OOD,0.006,0.0,0.768,2.299,0.19
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/70/Mixed_SlowFast(18)_1_stageii.npz,Basic Locomotion,0.913,0.0,0.0,1.007,2.04
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S01_Expert/Trial_upper_left_right_123_poses.npz,Upper-Body Manipulation,0.234,0.0,0.0,3.989,3.24
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/1226/Trial_01_stageii.npz,Upper-Body Manipulation,0.008,0.0,0.0,39.938,0.22
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/27/27_10_stageii.npz,Upper-Body Manipulation,0.042,0.0,0.0,11.76,0.62
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/12/RightTurn06_stageii.npz,Basic Locomotion,0.564,0.0,0.0,1.004,0.86
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub070/0022_throwing_hard1_poses.npz,Upper-Body Manipulation,0.325,0.0,0.0,2.552,3.95
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/67/Normal_CircleCCW(2)_stageii.npz,Basic Locomotion,0.577,0.0,0.0,0.936,1.33
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/105/105_15_stageii.npz,Upper-Body Manipulation,0.333,0.0,0.0,2.128,1.89
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub106/0021_throwing_hard1_poses.npz,Upper-Body Manipulation,0.101,0.0,0.0,6.739,3.37
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/kudo/gesture_etc-32-no-kudo_stageii.npz,Upper-Body Manipulation,0.031,0.0,0.0,5.135,0.21
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_60_F_MoSh/Subject_60_F_17_poses.npz,Upper-Body Manipulation,0.039,0.0,0.0,22.451,1.51
AMASS,../egodata/downloads/amass/extracted/MoSh/MoSh/50021/misc_9_stageii.npz,Agility / High-Dynamic,0.76,0.152,0.0,0.944,3.79
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/114/114_08_stageii.npz,Agility / High-Dynamic,0.357,0.541,0.0,1.055,0.97
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/writing001_1_stageii.npz,Upper-Body Manipulation,0.005,0.0,0.0,7.762,0.17
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/68/Slow_StraightLong(39)_stageii.npz,Basic Locomotion,0.468,0.0,0.0,0.995,0.89
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/359/bend_left07_stageii.npz,Basic Locomotion,0.618,0.0,0.0,1.004,0.92
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub010/0013_knocking2_poses.npz,Basic Locomotion,1.173,0.0,0.0,1.326,3.63
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/1229/hand_to_mouth_left_arm_02_stageii.npz,Upper-Body Manipulation,0.01,0.0,0.0,27.648,0.19
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/kudo/walk-02-drank-kudo_stageii.npz,Basic Locomotion,0.142,0.0,0.0,1.203,0.79
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub062/0022_throwing_hard1_poses.npz,Upper-Body Manipulation,0.437,0.0,0.0,3.299,5.78
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub085/0030_scamper_poses.npz,Agility / High-Dynamic,1.266,0.0,0.0,1.175,8.75
