source,path,category,subject_id,n_frames,has_nan,foot_skate,ground_pen,float_gap,max_jerk,max_speed,bone_cv,mean_speed,static_flag,outlier_flag,qc_pass,fail_reasons
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/typing_2_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,382,0,0.0028034555376244014,0.001259984877576021,0.0010415743385725623,57.06137283882988,0.35588894567273516,2.2700051547243356e-16,0.016345769276009756,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_C_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,126,0,0.005131384638026983,0.0004473095390106702,0.0019698545100867177,320.3557570669345,1.0390500368688738,3.6908408692940323e-16,0.041409710845692525,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0011297498507202791,0.0010959546179735921,0.00041774829367108995,68.9332262627405,0.5482254389953866,2.656720498921983e-16,0.015459860592766897,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_3_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.009302651953042796,0.001734633601354639,0.001670303635857344,591.2281580112697,0.5504894348013025,2.7241556370370797e-16,0.04162195628502482,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/flute_2_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0003141677123680783,2.4576173119471995e-05,0.00017659147485689017,4.4999466437316515,0.04130996360149325,2.824755799183832e-16,0.0028594971054284406,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/grasp3tripod_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.002200913899588589,0.0011429805825660597,0.0006738237001689754,201.15123198595484,0.5646411687989898,2.58349926919321e-16,0.01698944214275568,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Flute05_A_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,376,0,0.0025676855145293797,0.0004988199250673848,0.0011600353387944094,77.77298274475282,0.1374224588286592,2.4029664768676927e-16,0.006176124509832804,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignB_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.002072616296966057,0.0008164743744721453,0.001004584564224812,106.83220423709449,1.0535772424035608,2.724465710892925e-16,0.043472775460416446,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Flute05_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,901,0,0.0028724759245307317,0.0006350531261814715,0.0011190410008544774,112.78640920662869,0.20404463461297576,2.235936266363767e-16,0.006456615805222084,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignA_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0026357073179388273,0.001208561416302819,0.0011635469650252105,195.21134562017917,1.1840300198386737,2.72104086919694e-16,0.04600974904729375,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/flute_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.00028910202882398786,2.559099148416455e-05,0.00017007086773923596,3.5938331454629795,0.03679128914715643,2.784552511771686e-16,0.0022446293638030963,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_2_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0011973667498287642,6.965612516315889e-05,0.00020041966327197236,10.991908882301857,0.5932384005636507,2.881203786462257e-16,0.015075149125883343,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_A_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,151,0,0.0016753582755565256,9.396731762739176e-05,0.00035861705799276195,37.8735177957155,1.1840300198386737,2.8580945508383817e-16,0.03390144822822512,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Talking02_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,1801,0,0.0027162003711286914,0.001081799792594461,0.0013226000717768164,29.892014851959498,0.6303254930254161,2.452717309679715e-16,0.02218561622799801,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/pointing_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0032414904500139632,0.0029147249339251217,0.0017415123148186336,139.5024361128961,0.9305599352466766,2.523589734260016e-16,0.053860046584234364,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/ObjectA_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0009674460511547103,0.00015783919560937235,0.0005548627107999256,18.60301189020105,0.4760194371458547,2.678705139540724e-16,0.01204915628615398,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/graspLumbrical001_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0009457436416015556,0.0006975688302094628,0.00020113995231858459,6.6325879273877275,0.4017775005900735,2.7482459789296485e-16,0.01029923576933667,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/typing_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.00215598379330404,0.00019278440153438353,0.0006183394737606998,31.384403604009048,0.2802023595510093,2.7973071312834465e-16,0.01484456895462541,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Typing01_A_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,376,0,0.0011984021026654667,0.0001385994878973472,0.0006008531049629465,9.154861712713346,0.09753682113507431,2.4969461028654157e-16,0.0071198881651706345,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_3_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0018124983733790391,0.0001811393537992853,0.0003478009395075435,16.66893452144106,0.784684230355631,2.7995384810206815e-16,0.028921448552072425,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_2_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0015385298886993644,0.0002808736980876858,0.0006685534833493489,111.15932883456136,0.6443473190092613,2.728158842208324e-16,0.021573995813034857,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TalkingD_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0031397701594184403,0.0004021345167741358,0.0016859531873920502,148.28963683046098,0.6303258948539017,2.742733022159134e-16,0.03459371923597575,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/DirectionB_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0019654871742618937,0.0001978600497190043,0.0003640038975973696,27.67380949063458,0.8030204830671487,2.740803211699001e-16,0.029267265846171883,0,0,1,
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction01_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0011686615447168377,0.00039480584154101203,0.0003616277135854058,7.8372397347329805,0.6886065695462465,2.895468734121404e-16,0.015151135569045005,1,0,0,static
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/direction02_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0018832326935831038,0.0008878259068295404,0.000731747069529106,50.23931790689287,0.6181067688281664,2.693329276043279e-16,0.025290196592833113,0,0,1,
