category,name,smpl_path,robot_path
Agility / High-Dynamic,aiming1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/aiming1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/aiming1_subject1_motion_lib.pkl
Agility / High-Dynamic,aiming1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/aiming1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/aiming1_subject4_motion_lib.pkl
Agility / High-Dynamic,aiming2_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/aiming2_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/aiming2_subject2_motion_lib.pkl
Agility / High-Dynamic,aiming2_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/aiming2_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/aiming2_subject3_motion_lib.pkl
Agility / High-Dynamic,aiming2_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/aiming2_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/aiming2_subject5_motion_lib.pkl
Agility / High-Dynamic,dance1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance1_subject1_motion_lib.pkl
Agility / High-Dynamic,dance1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance1_subject2_motion_lib.pkl
Agility / High-Dynamic,dance2_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance2_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance2_subject1_motion_lib.pkl
Agility / High-Dynamic,dance2_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance2_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance2_subject2_motion_lib.pkl
Agility / High-Dynamic,dance2_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance2_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance2_subject5_motion_lib.pkl
Agility / High-Dynamic,fallAndGetUp1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fallAndGetUp1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fallAndGetUp1_subject1_motion_lib.pkl
Agility / High-Dynamic,fallAndGetUp1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fallAndGetUp1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fallAndGetUp1_subject4_motion_lib.pkl
Agility / High-Dynamic,fallAndGetUp1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fallAndGetUp1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fallAndGetUp1_subject5_motion_lib.pkl
Agility / High-Dynamic,fallAndGetUp2_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fallAndGetUp2_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fallAndGetUp2_subject2_motion_lib.pkl
